year,variable,material,application,level,value
2022,sent for sorting,PS,PTT,Low,21383.584028735288
2023,sent for sorting,PS,PTT,Low,25101.816034985935
2024,sent for sorting,PS,PTT,Low,25254.437845584238
2025,sent for sorting,PS,PTT,Low,25378.62684582511
2026,sent for sorting,PS,PTT,Low,25473.951626387523
2027,sent for sorting,PS,PTT,Low,25539.789163978658
2028,sent for sorting,PS,PTT,Low,25601.698065694465
2029,sent for sorting,PS,PTT,Low,25659.658860675525
2030,sent for sorting,PS,PTT,Low,25713.7357023406
2031,sent for sorting,PS,PTT,Low,25764.064602505674
2032,sent for sorting,PS,PTT,Low,25810.693755179265
2033,sent for sorting,PS,PTT,Low,25853.75571125264
2034,sent for sorting,PS,PTT,Low,25893.490209234988
2035,sent for sorting,PS,PTT,Low,25930.56727910313
2036,sent for sorting,PS,PTT,Low,25965.696505161668
2037,sent for sorting,PS,PTT,Low,25999.17336701789
2038,sent for sorting,PS,PTT,Low,26031.20152240906
2039,sent for sorting,PS,PTT,Low,26061.899242754083
2040,sent for sorting,PS,PTT,Low,26091.129088921316
2041,sent for sorting,PS,PTT,Low,26118.725776492298
2042,sent for sorting,PS,PTT,Low,26144.68272465759
2014,sent for sorting,PS,Bottle,Low,0.0
2015,sent for sorting,PS,Bottle,Low,0.0
2016,sent for sorting,PS,Bottle,Low,0.0
2017,sent for sorting,PS,Bottle,Low,0.0
2018,sent for sorting,PS,Bottle,Low,0.0
2019,sent for sorting,PS,Bottle,Low,0.0
2020,sent for sorting,PS,Bottle,Low,0.0
2021,sent for sorting,PS,Bottle,Low,0.0
2022,sent for sorting,PS,Bottle,Low,0.0
2023,sent for sorting,PS,Bottle,Low,0.0
2024,sent for sorting,PS,Bottle,Low,0.0
2025,sent for sorting,PS,Bottle,Low,0.0
2026,sent for sorting,PS,Bottle,Low,0.0
2027,sent for sorting,PS,Bottle,Low,0.0
2028,sent for sorting,PS,Bottle,Low,0.0
2029,sent for sorting,PS,Bottle,Low,0.0
2030,sent for sorting,PS,Bottle,Low,0.0
2031,sent for sorting,PS,Bottle,Low,0.0
2032,sent for sorting,PS,Bottle,Low,0.0
2033,sent for sorting,PS,Bottle,Low,0.0
2034,sent for sorting,PS,Bottle,Low,0.0
2035,sent for sorting,PS,Bottle,Low,0.0
2036,sent for sorting,PS,Bottle,Low,0.0
2037,sent for sorting,PS,Bottle,Low,0.0
2038,sent for sorting,PS,Bottle,Low,0.0
2039,sent for sorting,PS,Bottle,Low,0.0
2040,sent for sorting,PS,Bottle,Low,0.0
2041,sent for sorting,PS,Bottle,Low,0.0
2042,sent for sorting,PS,Bottle,Low,0.0
2014,sent for sorting,PS,Film,Low,817.3734799239077
2015,sent for sorting,PS,Film,Low,861.074194239042
2016,sent for sorting,PS,Film,Low,971.036860084434
2017,sent for sorting,PS,Film,Low,1003.923232629417
2018,sent for sorting,PS,Film,Low,1723.3132667446055
2019,sent for sorting,PS,Film,Low,2642.3499532593855
2020,sent for sorting,PS,Film,Low,3282.3741765514314
2021,sent for sorting,PS,Film,Low,3266.7641748380124
2022,sent for sorting,PS,Film,Low,0.0
2023,sent for sorting,PS,Film,Low,0.0
2024,sent for sorting,PS,Film,Low,0.0
2025,sent for sorting,PS,Film,Low,0.0
2026,sent for sorting,PS,Film,Low,0.0
2027,sent for sorting,PS,Film,Low,0.0
2028,sent for sorting,PS,Film,Low,0.0
2029,sent for sorting,PS,Film,Low,0.0
2030,sent for sorting,PS,Film,Low,0.0
2031,sent for sorting,PS,Film,Low,0.0
2032,sent for sorting,PS,Film,Low,0.0
2033,sent for sorting,PS,Film,Low,0.0
2034,sent for sorting,PS,Film,Low,0.0
2035,sent for sorting,PS,Film,Low,0.0
2036,sent for sorting,PS,Film,Low,0.0
2037,sent for sorting,PS,Film,Low,0.0
2038,sent for sorting,PS,Film,Low,0.0
2039,sent for sorting,PS,Film,Low,0.0
2040,sent for sorting,PS,Film,Low,0.0
2041,sent for sorting,PS,Film,Low,0.0
2042,sent for sorting,PS,Film,Low,0.0
2014,sent for sorting,PS,Other,Low,3909.484016928
2015,sent for sorting,PS,Other,Low,1715.9737401094653
2016,sent for sorting,PS,Other,Low,1907.8973629913987
2017,sent for sorting,PS,Other,Low,2007.9204366726683
2018,sent for sorting,PS,Other,Low,1857.3313906616434
2019,sent for sorting,PS,Other,Low,1875.2887538652653
2020,sent for sorting,PS,Other,Low,1811.1283905611117
2021,sent for sorting,PS,Other,Low,1246.0280070421788
2022,sent for sorting,PS,Other,Low,2899.585699903673
2023,sent for sorting,PS,Other,Low,5009.380871262764
2024,sent for sorting,PS,Other,Low,8857.369426773133
2025,sent for sorting,PS,Other,Low,9597.933531273962
2026,sent for sorting,PS,Other,Low,9656.427449787587
2027,sent for sorting,PS,Other,Low,9703.93814275699
2028,sent for sorting,PS,Other,Low,9740.387960610613
2029,sent for sorting,PS,Other,Low,9765.562846018835
2030,sent for sorting,PS,Other,Low,9789.23520979708
2031,sent for sorting,PS,Other,Low,9811.397591883097
2032,sent for sorting,PS,Other,Low,9832.074886334647
2033,sent for sorting,PS,Other,Low,9851.319088856457
2034,sent for sorting,PS,Other,Low,9869.14862282184
2035,sent for sorting,PS,Other,Low,9885.61418507138
2036,sent for sorting,PS,Other,Low,9900.807427618309
2037,sent for sorting,PS,Other,Low,9914.984549136108
2038,sent for sorting,PS,Other,Low,9928.416856582806
2039,sent for sorting,PS,Other,Low,9941.217344480023
2040,sent for sorting,PS,Other,Low,9953.463887085854
2041,sent for sorting,PS,Other,Low,9965.201714165276
2042,sent for sorting,PS,Other,Low,9976.378270463965
2014,sent for sorting,Other,Film,Low,7765.0480594941655
2015,sent for sorting,Other,Film,Low,8180.204843249469
2016,sent for sorting,Other,Film,Low,9224.850168522551
2017,sent for sorting,Other,Film,Low,9537.270707622687
2018,sent for sorting,Other,Film,Low,17479.320277603867
2019,sent for sorting,Other,Film,Low,27480.4395135063
2020,sent for sorting,Other,Film,Low,23961.331485380448
2021,sent for sorting,Other,Film,Low,13720.409536510751
2022,sent for sorting,Other,Film,Low,51572.17324337282
2023,sent for sorting,Other,Film,Low,60539.67397267484
2024,sent for sorting,Other,Film,Low,60907.76186102212
2025,sent for sorting,Other,Film,Low,61207.27650866186
2026,sent for sorting,Other,Film,Low,61437.17745930586
2027,sent for sorting,Other,Film,Low,61595.96209690225
2028,sent for sorting,Other,Film,Low,61745.27180884195
2029,sent for sorting,Other,Film,Low,61885.05960107208
2030,sent for sorting,Other,Film,Low,62015.48022366353
2031,sent for sorting,Other,Film,Low,62136.86168765302
2032,sent for sorting,Other,Film,Low,62249.32023716596
2033,sent for sorting,Other,Film,Low,62353.17554038944
2034,sent for sorting,Other,Film,Low,62449.005799114704
2035,sent for sorting,Other,Film,Low,62538.42696204767
2036,sent for sorting,Other,Film,Low,62623.15039331567
2037,sent for sorting,Other,Film,Low,62703.88870869021
2038,sent for sorting,Other,Film,Low,62781.13308159962
2039,sent for sorting,Other,Film,Low,62855.16876045031
2040,sent for sorting,Other,Film,Low,62925.66426696526
2041,sent for sorting,Other,Film,Low,62992.22099482182
2042,sent for sorting,Other,Film,Low,63054.82303513418
2014,sent for sorting,PVC,Bottle,Low,0.0
2015,sent for sorting,PVC,Bottle,Low,0.0
2016,sent for sorting,PVC,Bottle,Low,0.0
2017,sent for sorting,PVC,Bottle,Low,0.0
2018,sent for sorting,PVC,Bottle,Low,0.0
2019,sent for sorting,PVC,Bottle,Low,0.0
2020,sent for sorting,PVC,Bottle,Low,0.0
2021,sent for sorting,PVC,Bottle,Low,318.64274788875247
2022,sent for sorting,PVC,Bottle,Low,662.5165380728578
2023,sent for sorting,PVC,Bottle,Low,4.3062753483995975
2024,sent for sorting,PVC,Bottle,Low,0.025837652090397595
2025,sent for sorting,PVC,Bottle,Low,0.00015502591254238797
2026,sent for sorting,PVC,Bottle,Low,9.301554752543372e-07
2027,sent for sorting,PVC,Bottle,Low,5.5809328515260115e-09
2028,sent for sorting,PVC,Bottle,Low,3.348559710915594e-11
2029,sent for sorting,PVC,Bottle,Low,2.0091358265493703e-13
2030,sent for sorting,PVC,Bottle,Low,1.2054814959296185e-15
2031,sent for sorting,PVC,Bottle,Low,7.232888975577637e-18
2032,sent for sorting,PVC,Bottle,Low,4.3397333853466184e-20
2033,sent for sorting,PVC,Bottle,Low,2.603840031207992e-22
2034,sent for sorting,PVC,Bottle,Low,1.5623040187248017e-24
2035,sent for sorting,PVC,Bottle,Low,9.373824112348932e-27
2036,sent for sorting,PVC,Bottle,Low,5.624294467409327e-29
2037,sent for sorting,PVC,Bottle,Low,3.3745766804455957e-31
2038,sent for sorting,PVC,Bottle,Low,2.024746008267348e-33
2039,sent for sorting,PVC,Bottle,Low,1.2148476049604165e-35
2040,sent for sorting,PVC,Bottle,Low,7.28908562976247e-38
2041,sent for sorting,PVC,Bottle,Low,4.3734513778575554e-40
2042,sent for sorting,PVC,Bottle,Low,2.6240708267145162e-42
2014,sent for sorting,PVC,Film,Low,3677.881670022
2015,sent for sorting,PVC,Film,Low,3829.161409767753
2016,sent for sorting,PVC,Film,Low,4395.570227182505
2017,sent for sorting,PVC,Film,Low,4544.921163328475
2018,sent for sorting,PVC,Film,Low,4204.0722545153285
2019,sent for sorting,PVC,Film,Low,3008.280506108788
2020,sent for sorting,PVC,Film,Low,1947.115439438076
2021,sent for sorting,PVC,Film,Low,1604.5553937209922
2022,sent for sorting,PVC,Film,Low,1330.9001138008528
2023,sent for sorting,PVC,Film,Low,5459.269983403412
2024,sent for sorting,PVC,Film,Low,5939.065275971387
2025,sent for sorting,PVC,Film,Low,5977.855060684957
2026,sent for sorting,PVC,Film,Low,6007.308741257941
2027,sent for sorting,PVC,Film,Low,6029.914823548011
