material,application,variable,year,value,
pet,other,historical data for la collected,2015,0.384204,
pet,other,historical data for la collected,2016,0.388583,
pet,other,historical data for la collected,2017,0.36809,
pet,other,historical data for la collected,2018,0.357432,
pet,other,historical data for la collected,2019,0.377737,
pet,other,historical data for la collected,2020,0.40777,
pet,other,historical data for la collected,2021,0.413408,
pet,other,historical data for la collected,2022,0.391955,
pet,other,historical data for la collected,2023,0.391955,
pet,other,wmc historical,2014,0.575847,
pet,other,wmc historical,2015,0.569795,
pet,other,wmc historical,2016,0.565417,
pet,other,wmc historical,2017,0.58591,
pet,other,wmc historical,2018,0.596568,
pet,other,wmc historical,2019,0.576263,
pet,other,wmc historical,2020,0.54623,
pet,other,wmc historical,2021,0.540592,
pet,other,wmc historical,2022,0.562045,
pet,other,wmc historical,2023,0.562045,
pet,other,littering rate historical data,2014,0.04,
pet,other,littering rate historical data,2015,0.04,
pet,other,littering rate historical data,2016,0.04,
pet,other,littering rate historical data,2017,0.04,
pet,other,littering rate historical data,2018,0.04,
pet,other,littering rate historical data,2019,0.04,
pet,other,littering rate historical data,2020,0.04,
pet,other,littering rate historical data,2021,0.04,
pet,other,littering rate historical data,2022,0.04,
pet,other,littering rate historical data,2023,0.04,
pet,other,rate to illegal collection,2014,0.006,
pet,other,rate to illegal collection,2015,0.006,
pet,other,rate to illegal collection,2016,0.006,
pet,other,rate to illegal collection,2017,0.006,
pet,other,rate to illegal collection,2018,0.006,
pet,other,rate to illegal collection,2019,0.006,
pet,other,rate to illegal collection,2020,0.006,
pet,other,rate to illegal collection,2021,0.006,
pet,other,rate to illegal collection,2022,0.006,
pet,other,rate to illegal collection,2023,0.006,
pet,other,rvm historical,2014,0,
pet,other,rvm historical,2015,0,
pet,other,rvm historical,2016,0,
pet,other,rvm historical,2017,0,
pet,other,rvm historical,2018,0,
pet,other,rvm historical,2019,0,
pet,other,rvm historical,2020,0,
pet,other,rvm historical,2021,0,
pet,other,rvm historical,2022,0,
pet,other,rvm historical,2023,0,
pvc,bottle,historical data for la collected,2014,0.378152964,
pvc,bottle,historical data for la collected,2015,0.384204465,
pvc,bottle,historical data for la collected,2016,0.388583223,
pvc,bottle,historical data for la collected,2017,0.368090016,
pvc,bottle,historical data for la collected,2018,0.357431516,
pvc,bottle,historical data for la collected,2019,0.377737053,
pvc,bottle,historical data for la collected,2020,0.407769943,
pvc,bottle,historical data for la collected,2021,0.413407561,
pvc,bottle,historical data for la collected,2022,0.391954918,
pvc,bottle,historical data for la collected,2023,0.391954978,
pvc,bottle,wmc historical,2014,0.575846899,
pvc,bottle,wmc historical,2015,0.56979547,
pvc,bottle,wmc historical,2016,0.565416865,
pvc,bottle,wmc historical,2017,0.585910073,
pvc,bottle,wmc historical,2018,0.596568377,
pvc,bottle,wmc historical,2019,0.576262952,
pvc,bottle,wmc historical,2020,0.54623003,
pvc,bottle,wmc historical,2021,0.540592441,
pvc,bottle,wmc historical,2022,0.562045048,
pvc,bottle,wmc historical,2023,0.56204503,
pvc,bottle,littering rate historical data,2014,0.039999994,
pvc,bottle,littering rate historical data,2015,0.040000009,
pvc,bottle,littering rate historical data,2016,0.040000009,
pvc,bottle,littering rate historical data,2017,0.040000009,
pvc,bottle,littering rate historical data,2018,0.039999997,
pvc,bottle,littering rate historical data,2019,0.040000005,
pvc,bottle,littering rate historical data,2020,0.040000005,
pvc,bottle,littering rate historical data,2021,0.039999995,
pvc,bottle,littering rate historical data,2022,0.040000003,
pvc,bottle,littering rate historical data,2023,0.040000003,
pvc,bottle,rate to illegal collection,2014,0.005999999,
pvc,bottle,rate to illegal collection,2015,0.006000001,
pvc,bottle,rate to illegal collection,2016,0.006000001,
pvc,bottle,rate to illegal collection,2017,0.006000001,
pvc,bottle,rate to illegal collection,2018,0.006,
pvc,bottle,rate to illegal collection,2019,0.005999999,
pvc,bottle,rate to illegal collection,2020,0.005999999,
pvc,bottle,rate to illegal collection,2021,0.006000001,
pvc,bottle,rate to illegal collection,2022,0.006,
pvc,bottle,rate to illegal collection,2023,0.006,
pvc,bottle,rvm historical,2014,0,
pvc,bottle,rvm historical,2015,0,
pvc,bottle,rvm historical,2016,0,
pvc,bottle,rvm historical,2017,0,
pvc,bottle,rvm historical,2018,0,
pvc,bottle,rvm historical,2019,0,
pvc,bottle,rvm historical,2020,0,
pvc,bottle,rvm historical,2021,0,
pvc,bottle,rvm historical,2022,0,
pvc,bottle,rvm historical,2023,0,
pvc,ptt,historical data for la collected,2014,0.378152964,
pvc,ptt,historical data for la collected,2015,0.384204465,
pvc,ptt,historical data for la collected,2016,0.388583223,
pvc,ptt,historical data for la collected,2017,0.368090016,
pvc,ptt,historical data for la collected,2018,0.357431516,
pvc,ptt,historical data for la collected,2019,0.377737053,
pvc,ptt,historical data for la collected,2020,0.407769943,
pvc,ptt,historical data for la collected,2021,0.413407561,
pvc,ptt,historical data for la collected,2022,0.391954918,
pvc,ptt,historical data for la collected,2023,0.391954978,
pvc,ptt,wmc historical,2014,0.575846899,
pvc,ptt,wmc historical,2015,0.56979547,
pvc,ptt,wmc historical,2016,0.565416865,
pvc,ptt,wmc historical,2017,0.585910073,
pvc,ptt,wmc historical,2018,0.596568377,
pvc,ptt,wmc historical,2019,0.576262952,
pvc,ptt,wmc historical,2020,0.54623003,
pvc,ptt,wmc historical,2021,0.540592441,
pvc,ptt,wmc historical,2022,0.562045048,
pvc,ptt,wmc historical,2023,0.56204503,
pvc,ptt,littering rate historical data,2014,0.039999994,
pvc,ptt,littering rate historical data,2015,0.040000009,
pvc,ptt,littering rate historical data,2016,0.040000009,
pvc,ptt,littering rate historical data,2017,0.040000009,
pvc,ptt,littering rate historical data,2018,0.039999997,
pvc,ptt,littering rate historical data,2019,0.040000005,
pvc,ptt,littering rate historical data,2020,0.040000005,
pvc,ptt,littering rate historical data,2021,0.039999995,
pvc,ptt,littering rate historical data,2022,0.040000003,
pvc,ptt,littering rate historical data,2023,0.040000003,
pvc,ptt,rate to illegal collection,2014,0.005999999,
pvc,ptt,rate to illegal collection,2015,0.006000001,
pvc,ptt,rate to illegal collection,2016,0.006000001,
pvc,ptt,rate to illegal collection,2017,0.006000001,
pvc,ptt,rate to illegal collection,2018,0.006,
pvc,ptt,rate to illegal collection,2019,0.005999999,
pvc,ptt,rate to illegal collection,2020,0.005999999,
pvc,ptt,rate to illegal collection,2021,0.006000001,
pvc,ptt,rate to illegal collection,2022,0.006,
pvc,ptt,rate to illegal collection,2023,0.006,
pvc,ptt,rvm historical,2014,0,
pvc,ptt,rvm historical,2015,0,
pvc,ptt,rvm historical,2016,0,
pvc,ptt,rvm historical,2017,0,
pvc,ptt,rvm historical,2018,0,
pvc,ptt,rvm historical,2019,0,
pvc,ptt,rvm historical,2020,0,
pvc,ptt,rvm historical,2021,0,
pvc,ptt,rvm historical,2022,0,
pvc,ptt,rvm historical,2023,0,
pvc,film,historical data for la collected,2014,0.378153,
pvc,film,historical data for la collected,2015,0.384204,
pvc,film,historical data for la collected,2016,0.388583,
pvc,film,historical data for la collected,2017,0.36809,
pvc,film,historical data for la collected,2018,0.357432,
pvc,film,historical data for la collected,2019,0.377737,
pvc,film,historical data for la collected,2020,0.40777,
pvc,film,historical data for la collected,2021,0.413408,
pvc,film,historical data for la collected,2022,0.391955,
pvc,film,historical data for la collected,2023,0.391955,
pvc,film,wmc historical,2014,0.575847,
pvc,film,wmc historical,2015,0.569795,
pvc,film,wmc historical,2016,0.565417,
pvc,film,wmc historical,2017,0.58591,
pvc,film,wmc historical,2018,0.596568,
pvc,film,wmc historical,2019,0.576263,
pvc,film,wmc historical,2020,0.54623,
pvc,film,wmc historical,2021,0.540592,
pvc,film,wmc historical,2022,0.562045,
pvc,film,wmc historical,2023,0.562045,
pvc,film,littering rate historical data,2014,0.04,
pvc,film,littering rate historical data,2015,0.04,
pvc,film,littering rate historical data,2016,0.04,
pvc,film,littering rate historical data,2017,0.04,
pvc,film,littering rate historical data,2018,0.04,
pvc,film,littering rate historical data,2019,0.04,
pvc,film,littering rate historical data,2020,0.04,
pvc,film,littering rate historical data,2021,0.04,
pvc,film,littering rate historical data,2022,0.04,
pvc,film,littering rate historical data,2023,0.04,
pvc,film,rate to illegal collection,2014,0.006,
pvc,film,rate to illegal collection,2015,0.006,
pvc,film,rate to illegal collection,2016,0.006,
pvc,film,rate to illegal collection,2017,0.006,
pvc,film,rate to illegal collection,2018,0.006,
pvc,film,rate to illegal collection,2019,0.006,
pvc,film,rate to illegal collection,2020,0.006,
pvc,film,rate to illegal collection,2021,0.006,
pvc,film,rate to illegal collection,2022,0.006,
pvc,film,rate to illegal collection,2023,0.006,
pvc,film,rvm historical,2014,0,
pvc,film,rvm historical,2015,0,
pvc,film,rvm historical,2016,0,
pvc,film,rvm historical,2017,0,
pvc,film,rvm historical,2018,0,
pvc,film,rvm historical,2019,0,
pvc,film,rvm historical,2020,0,
pvc,film,rvm historical,2021,0,
pvc,film,rvm historical,2022,0,
pvc,film,rvm historical,2023,0,
pvc,other,historical data for la collected,2014,0.378153,
pvc,other,historical data for la collected,2015,0.384204,
pvc,other,historical data for la collected,2016,0.388583,
pvc,other,historical data for la collected,2017,0.36809,
pvc,other,historical data for la collected,2018,0.357432,
pvc,other,historical data for la collected,2019,0.377737,
pvc,other,historical data for la collected,2020,0.40777,
pvc,other,historical data for la collected,2021,0.413408,
pvc,other,historical data for la collected,2022,0.391955,
pvc,other,historical data for la collected,2023,0.391955,
pvc,other,wmc historical,2014,0.575847,
pvc,other,wmc historical,2015,0.569795,
pvc,other,wmc historical,2016,0.565417,
pvc,other,wmc historical,2017,0.58591,
pvc,other,wmc historical,2018,0.596568,
pvc,other,wmc historical,2019,0.576263,
pvc,other,wmc historical,2020,0.54623,
pvc,other,wmc historical,2021,0.540592,
pvc,other,wmc historical,2022,0.562045,
pvc,other,wmc historical,2023,0.562045,
pvc,other,littering rate historical data,2014,0.04,
pvc,other,littering rate historical data,2015,0.04,
pvc,other,littering rate historical data,2016,0.04,
pvc,other,littering rate historical data,2017,0.04,
pvc,other,littering rate historical data,2018,0.04,
pvc,other,littering rate historical data,2019,0.04,
pvc,other,littering rate historical data,2020,0.04,
pvc,other,littering rate historical data,2021,0.04,
pvc,other,littering rate historical data,2022,0.04,
pvc,other,littering rate historical data,2023,0.04,
pvc,other,rate to illegal collection,2014,0.006,
pvc,other,rate to illegal collection,2015,0.006,
pvc,other,rate to illegal collection,2016,0.006,
pvc,other,rate to illegal collection,2017,0.006,
pvc,other,rate to illegal collection,2018,0.006,
pvc,other,rate to illegal collection,2019,0.006,
pvc,other,rate to illegal collection,2020,0.006,
pvc,other,rate to illegal collection,2021,0.006,
pvc,other,rate to illegal collection,2022,0.006,
pvc,other,rate to illegal collection,2023,0.006,
pvc,other,rvm historical,2014,0,
pvc,other,rvm historical,2015,0,
pvc,other,rvm historical,2016,0,
pvc,other,rvm historical,2017,0,
pvc,other,rvm historical,2018,0,
pvc,other,rvm historical,2019,0,
pvc,other,rvm historical,2020,0,
pvc,other,rvm historical,2021,0,
pvc,other,rvm historical,2022,0,
pvc,other,rvm historical,2023,0,
pe,bottle,historical data for la collected,2014,0.378153,
pe,bottle,historical data for la collected,2015,0.384204,
pe,bottle,historical data for la collected,2016,0.388583,
pe,bottle,historical data for la collected,2017,0.36809,
pe,bottle,historical data for la collected,2018,0.357432,
pe,bottle,historical data for la collected,2019,0.377737,
pe,bottle,historical data for la collected,2020,0.40777,
pe,bottle,historical data for la collected,2021,0.413408,
pe,bottle,historical data for la collected,2022,0.391955,
pe,bottle,historical data for la collected,2023,0.391955,
pe,bottle,wmc historical,2014,0.575847,
pe,bottle,wmc historical,2015,0.569795,
pe,bottle,wmc historical,2016,0.565417,
pe,bottle,wmc historical,2017,0.58591,
pe,bottle,wmc historical,2018,0.596568,
pe,bottle,wmc historical,2019,0.576263,
pe,bottle,wmc historical,2020,0.54623,
pe,bottle,wmc historical,2021,0.540592,
pe,bottle,wmc historical,2022,0.562045,
pe,bottle,wmc historical,2023,0.562045,
pe,bottle,littering rate historical data,2014,0.04,
pe,bottle,littering rate historical data,2015,0.04,
pe,bottle,littering rate historical data,2016,0.04,
pe,bottle,littering rate historical data,2017,0.04,
pe,bottle,littering rate historical data,2018,0.04,
pe,bottle,littering rate historical data,2019,0.04,
pe,bottle,littering rate historical data,2020,0.04,
pe,bottle,littering rate historical data,2021,0.04,
pe,bottle,littering rate historical data,2022,0.04,
pe,bottle,littering rate historical data,2023,0.04,
pe,bottle,rate to illegal collection,2014,0.006,
pe,bottle,rate to illegal collection,2015,0.006,
pe,bottle,rate to illegal collection,2016,0.006,
pe,bottle,rate to illegal collection,2017,0.006,
pe,bottle,rate to illegal collection,2018,0.006,
pe,bottle,rate to illegal collection,2019,0.006,
pe,bottle,rate to illegal collection,2020,0.006,
pe,bottle,rate to illegal collection,2021,0.006,
pe,bottle,rate to illegal collection,2022,0.006,
pe,bottle,rate to illegal collection,2023,0.006,
pe,bottle,rvm historical,2014,0,
pe,bottle,rvm historical,2015,0,
pe,bottle,rvm historical,2016,0,
pe,bottle,rvm historical,2017,0,
pe,bottle,rvm historical,2018,0,
pe,bottle,rvm historical,2019,0,
pe,bottle,rvm historical,2020,0,
pe,bottle,rvm historical,2021,0,
pe,bottle,rvm historical,2022,0,
pe,bottle,rvm historical,2023,0,
pe,ptt,historical data for la collected,2014,0.378153,
pe,ptt,historical data for la collected,2015,0.384204,
pe,ptt,historical data for la collected,2016,0.388583,
pe,ptt,historical data for la collected,2017,0.36809,
pe,ptt,historical data for la collected,2018,0.357432,
pe,ptt,historical data for la collected,2019,0.377737,
pe,ptt,historical data for la collected,2020,0.40777,
pe,ptt,historical data for la collected,2021,0.413408,
pe,ptt,historical data for la collected,2022,0.391955,
pe,ptt,historical data for la collected,2023,0.391955,
pe,ptt,wmc historical,2014,0.575847,
pe,ptt,wmc historical,2015,0.569795,
pe,ptt,wmc historical,2016,0.565417,
pe,ptt,wmc historical,2017,0.58591,
pe,ptt,wmc historical,2018,0.596568,
pe,ptt,wmc historical,2019,0.576263,
pe,ptt,wmc historical,2020,0.54623,
pe,ptt,wmc historical,2021,0.540592,
pe,ptt,wmc historical,2022,0.562045,
pe,ptt,wmc historical,2023,0.562045,
pe,ptt,littering rate historical data,2014,0.04,
pe,ptt,littering rate historical data,2015,0.04,
pe,ptt,littering rate historical data,2016,0.04,
pe,ptt,littering rate historical data,2017,0.04,
pe,ptt,littering rate historical data,2018,0.04,
pe,ptt,littering rate historical data,2019,0.04,
pe,ptt,littering rate historical data,2020,0.04,
pe,ptt,littering rate historical data,2021,0.04,
pe,ptt,littering rate historical data,2022,0.04,
pe,ptt,littering rate historical data,2023,0.04,
pe,ptt,rate to illegal collection,2014,0.006,
pe,ptt,rate to illegal collection,2015,0.006,
pe,ptt,rate to illegal collection,2016,0.006,
pe,ptt,rate to illegal collection,2017,0.006,
pe,ptt,rate to illegal collection,2018,0.006,
pe,ptt,rate to illegal collection,2019,0.006,
pe,ptt,rate to illegal collection,2020,0.006,
pe,ptt,rate to illegal collection,2021,0.006,
pe,ptt,rate to illegal collection,2022,0.006,
pe,ptt,rate to illegal collection,2023,0.006,
pe,ptt,rvm historical,2014,0,
pe,ptt,rvm historical,2015,0,
pe,ptt,rvm historical,2016,0,
pe,ptt,rvm historical,2017,0,
pe,ptt,rvm historical,2018,0,
pe,ptt,rvm historical,2019,0,
pe,ptt,rvm historical,2020,0,
pe,ptt,rvm historical,2021,0,
pe,ptt,rvm historical,2022,0,
pe,ptt,rvm historical,2023,0,
pe,film,historical data for la collected,2014,0.378153,
pe,film,historical data for la collected,2015,0.384204,
pe,film,historical data for la collected,2016,0.388583,
pe,film,historical data for la collected,2017,0.36809,
pe,film,historical data for la collected,2018,0.357432,
pe,film,historical data for la collected,2019,0.377737,
pe,film,historical data for la collected,2020,0.40777,
pe,film,historical data for la collected,2021,0.413408,
pe,film,historical data for la collected,2022,0.391955,
pe,film,historical data for la collected,2023,0.391955,
pe,film,wmc historical,2014,0.575847,
pe,film,wmc historical,2015,0.569795,
pe,film,wmc historical,2016,0.565417,
pe,film,wmc historical,2017,0.58591,
pe,film,wmc historical,2018,0.596568,
pe,film,wmc historical,2019,0.576263,
pe,film,wmc historical,2020,0.54623,
pe,film,wmc historical,2021,0.540592,
pe,film,wmc historical,2022,0.562045,
pe,film,wmc historical,2023,0.562045,
pe,film,littering rate historical data,2014,0.04,
pe,film,littering rate historical data,2015,0.04,
pe,film,littering rate historical data,2016,0.04,
pe,film,littering rate historical data,2017,0.04,
pe,film,littering rate historical data,2018,0.04,
pe,film,littering rate historical data,2019,0.04,
pe,film,littering rate historical data,2020,0.04,
pe,film,littering rate historical data,2021,0.04,
pe,film,littering rate historical data,2022,0.04,
pe,film,littering rate historical data,2023,0.04,
pe,film,rate to illegal collection,2014,0.006,
pe,film,rate to illegal collection,2015,0.006,
pe,film,rate to illegal collection,2016,0.006,
pe,film,rate to illegal collection,2017,0.006,
pe,film,rate to illegal collection,2018,0.006,
pe,film,rate to illegal collection,2019,0.006,
pe,film,rate to illegal collection,2020,0.006,
pe,film,rate to illegal collection,2021,0.006,
pe,film,rate to illegal collection,2022,0.006,
pe,film,rate to illegal collection,2023,0.006,
pe,film,rvm historical,2014,0,
pe,film,rvm historical,2015,0,
pe,film,rvm historical,2016,0,
pe,film,rvm historical,2017,0,
pe,film,rvm historical,2018,0,
pe,film,rvm historical,2019,0,
pe,film,rvm historical,2020,0,
pe,film,rvm historical,2021,0,
pe,film,rvm historical,2022,0,
pe,film,rvm historical,2023,0,
pe,other,historical data for la collected,2014,0.378153,
pe,other,historical data for la collected,2015,0.384204,
pe,other,historical data for la collected,2016,0.388583,
pe,other,historical data for la collected,2017,0.36809,
pe,other,historical data for la collected,2018,0.357432,
pe,other,historical data for la collected,2019,0.377737,
pe,other,historical data for la collected,2020,0.40777,
pe,other,historical data for la collected,2021,0.413408,
pe,other,historical data for la collected,2022,0.391955,
pe,other,historical data for la collected,2023,0.391955,
pe,other,wmc historical,2014,0.575847,
pe,other,wmc historical,2015,0.569795,
pe,other,wmc historical,2016,0.565417,
pe,other,wmc historical,2017,0.58591,
pe,other,wmc historical,2018,0.596568,
pe,other,wmc historical,2019,0.576263,
pe,other,wmc historical,2020,0.54623,
pe,other,wmc historical,2021,0.540592,
pe,other,wmc historical,2022,0.562045,
pe,other,wmc historical,2023,0.562045,
pe,other,littering rate historical data,2014,0.04,
pe,other,littering rate historical data,2015,0.04,
pe,other,littering rate historical data,2016,0.04,
pe,other,littering rate historical data,2017,0.04,
pe,other,littering rate historical data,2018,0.04,
pe,other,littering rate historical data,2019,0.04,
pe,other,littering rate historical data,2020,0.04,
pe,other,littering rate historical data,2021,0.04,
pe,other,littering rate historical data,2022,0.04,
pe,other,littering rate historical data,2023,0.04,
pe,other,rate to illegal collection,2014,0.006,
pe,other,rate to illegal collection,2015,0.006,
pe,other,rate to illegal collection,2016,0.006,
pe,other,rate to illegal collection,2017,0.006,
pe,other,rate to illegal collection,2018,0.006,
pe,other,rate to illegal collection,2019,0.006,
pe,other,rate to illegal collection,2020,0.006,
pe,other,rate to illegal collection,2021,0.006,
pe,other,rate to illegal collection,2022,0.006,
pe,other,rate to illegal collection,2023,0.006,
pe,other,rvm historical,2014,0,
pe,other,rvm historical,2015,0,
pe,other,rvm historical,2016,0,
pe,other,rvm historical,2017,0,
pe,other,rvm historical,2018,0,
pe,other,rvm historical,2019,0,
pe,other,rvm historical,2020,0,
pe,other,rvm historical,2021,0,
pe,other,rvm historical,2022,0,
pe,other,rvm historical,2023,0,
hdpe,bottle,historical data for la collected,2014,0.378153,
hdpe,bottle,historical data for la collected,2015,0.384204,
hdpe,bottle,historical data for la collected,2016,0.388583,
hdpe,bottle,historical data for la collected,2017,0.36809,
hdpe,bottle,historical data for la collected,2018,0.357432,
hdpe,bottle,historical data for la collected,2019,0.377737,
hdpe,bottle,historical data for la collected,2020,0.40777,
hdpe,bottle,historical data for la collected,2021,0.413408,
hdpe,bottle,historical data for la collected,2022,0.391955,
hdpe,bottle,historical data for la collected,2023,0.391955,
hdpe,bottle,wmc historical,2014,0.575847,
hdpe,bottle,wmc historical,2015,0.569795,
hdpe,bottle,wmc historical,2016,0.565417,
hdpe,bottle,wmc historical,2017,0.58591,
hdpe,bottle,wmc historical,2018,0.596568,
hdpe,bottle,wmc historical,2019,0.576263,
hdpe,bottle,wmc historical,2020,0.54623,
hdpe,bottle,wmc historical,2021,0.540592,
hdpe,bottle,wmc historical,2022,0.562045,
hdpe,bottle,wmc historical,2023,0.562045,
hdpe,bottle,littering rate historical data,2014,0.04,
hdpe,bottle,littering rate historical data,2015,0.04,
hdpe,bottle,littering rate historical data,2016,0.04,
hdpe,bottle,littering rate historical data,2017,0.04,
hdpe,bottle,littering rate historical data,2018,0.04,
hdpe,bottle,littering rate historical data,2019,0.04,
hdpe,bottle,littering rate historical data,2020,0.04,
hdpe,bottle,littering rate historical data,2021,0.04,
